"octave1","octave2","octave3","octave4","octave5","octave6","octave7","octave8","octave9","octave10","octave11","quality"
42.000,71.000,117.500,155.125,176.125,176.424,131.040,150.368,29.200,0.000,0.000,0.000,90
42.000,60.000,105.000,155.625,183.438,172.194,90.953,131.093,23.242,0.000,0.000,0.000,180
27.000,51.000,69.500,147.125,179.078,128.950,73.410,73.381,0.001,0.000,0.000,0.000,-90
41.000,76.000,110.500,153.625,174.867,169.375,136.959,153.123,30.264,0.000,0.000,0.000,-180
36.000,69.000,99.500,136.125,161.031,152.600,111.162,141.039,42.450,0.000,0.000,0.000,90
46.000,59.000,122.500,154.375,172.070,165.562,116.654,150.659,42.167,0.000,0.000,0.000,90
28.000,61.000,102.500,167.125,187.266,176.334,135.771,154.138,25.629,0.000,0.000,0.000,90
42.000,71.000,111.500,174.000,173.445,195.660,142.750,147.115,57.308,0.000,0.000,0.000,-90
33.000,66.000,101.500,148.250,175.547,196.746,136.773,149.296,46.877,0.000,0.000,0.000,-90
33.000,62.000,105.000,173.750,176.742,193.066,125.485,132.316,30.661,0.000,0.000,0.000,-90
47.000,73.000,109.000,174.750,168.352,193.000,106.330,128.477,14.255,0.000,0.000,0.000,-90
32.000,65.000,113.000,185.500,165.586,192.781,102.299,120.320,12.961,0.000,0.000,0.000,-90
41.000,62.000,115.000,177.000,169.773,185.156,118.100,136.524,41.150,0.000,0.000,0.000,-180
24.000,62.000,112.500,165.375,173.055,184.570,117.189,129.519,27.732,0.000,0.000,0.000,-180
27.000,52.000,122.000,165.375,175.492,172.392,124.677,142.986,45.117,0.000,0.000,0.000,90
41.000,66.000,103.500,168.375,184.281,189.200,159.467,143.087,37.095,0.000,0.000,0.000,90
44.000,58.000,92.500,170.875,181.977,172.567,112.465,117.326,1.987,0.000,0.000,0.000,90
45.000,84.000,130.000,172.375,160.727,179.568,143.477,152.292,59.224,0.000,0.000,0.000,90
64.000,83.000,137.500,181.500,181.352,167.600,124.337,135.766,38.011,0.000,0.000,0.000,90
41.000,65.000,102.500,172.000,187.539,164.040,124.051,123.752,9.233,0.000,0.000,0.000,90
36.000,76.000,111.500,178.875,170.352,159.540,145.003,160.649,73.241,0.000,0.000,0.000,180
17.000,63.000,108.500,156.250,154.063,152.680,131.580,137.931,50.872,0.000,0.000,0.000,180
52.000,87.000,132.000,174.250,177.602,176.887,147.009,162.303,59.418,0.000,0.000,0.000,-90
56.000,76.000,123.000,167.000,181.570,170.349,140.749,153.155,62.295,0.004,0.000,0.000,-360
37.000,84.000,127.000,181.125,176.875,182.662,152.086,167.240,70.564,0.000,0.000,0.000,-360
44.000,70.000,112.000,182.750,184.734,188.960,126.570,127.983,18.092,0.000,0.000,0.000,360
26.000,63.000,118.500,185.500,189.047,189.475,104.191,137.817,23.381,0.000,0.000,0.000,360
45.000,66.000,118.500,170.875,168.406,187.627,104.167,126.781,9.031,0.000,0.000,0.000,360
44.000,66.000,105.500,159.375,167.734,181.602,57.755,54.072,0.000,0.000,0.000,0.000,-90
47.000,66.000,102.500,137.375,155.227,179.134,62.646,47.779,0.000,0.000,0.000,0.000,-90
39.000,59.000,102.500,167.750,158.313,176.871,60.792,49.632,0.000,0.000,0.000,0.000,-90
130.000,149.000,170.500,211.875,185.797,194.232,166.331,174.169,128.040,125.908,0.000,0.000,90
82.000,99.000,117.000,157.750,138.133,137.060,117.286,126.787,72.028,61.392,0.000,0.000,90
72.000,101.000,142.500,170.125,177.766,196.564,150.766,172.384,97.811,108.349,0.000,0.000,90
124.000,216.000,253.500,227.250,190.688,177.147,159.810,151.318,105.468,100.211,0.000,0.000,90
